X,Y,indx
50845.186556449175,-16926.206581825903,5167.0
35876.84255402328,-53269.625460021605,7339.0
-36434.41242617744,-16141.15179030198,5391.0
-20350.94824018973,-33689.435365542595,1494.0
-16104.913695088975,-39184.818906210065,856.0
-27084.558579389915,-37014.37330611451,1678.0
-28928.795806049842,-24545.856028969854,7349.0
51102.52198342496,22372.712687989282,7074.0
-22366.742418166854,-34751.568318780846,6547.0
-37892.64651237365,5286.226048939199,1554.0
-27642.118671170825,-27455.176726970272,3934.0
-31116.146935344164,40983.12921646814,2135.0
-31630.817789295772,-35305.7246422095,6683.0
-37592.421847568556,11797.562849225847,5810.0
-41752.67791701071,-3395.556351443003,1636.0
-18806.935678334914,-50267.945374783085,944.0
-44497.58913808593,27267.76021160904,92.0
-24596.98278529048,-43571.88980002021,1440.0
4524.809700804581,6486.898083034612,7489.0
23267.40663220891,-41447.623893543714,3844.0
-39522.43754988707,-14340.143739158862,6263.0
-24725.650498778385,-21082.379007540785,4053.0
-35019.067577810514,-17480.36290525455,1099.0
-37077.75099361694,2284.545963700672,8542.0
-41795.56715484,-3487.9157386811135,6670.0
-18378.043300041903,-48328.398242782794,8209.0
-28800.12809256194,-32673.482105923405,322.0
-22838.524034289167,-32627.302412304354,3718.0
-30258.362178758154,-34428.310463447466,2709.0
-24168.09040699748,-38907.74074449573,6006.0
-26055.2168714867,-45927.05417459198,1155.0
-3323.920821957414,-37799.42809763843,1659.0
-17520.258543455893,-43110.09286382967,460.0
-27341.894006365717,-32396.403944209083,2594.0
-27899.454098146623,-27824.614275922708,4270.0
-20994.28680762924,-48282.21854916374,3386.0
-37335.08642059274,6163.640227701231,5439.0
-25454.767541876496,-29025.286310018117,20.0
-26526.99848760901,-32534.94302506624,1849.0
-34118.3935833952,32578.42497780026,1321.0
-32874.60568634549,-28886.747229160956,3802.0
-26870.112390243412,-32719.661799542464,6171.0
-39479.54831205777,29622.92458618079,202.0
-8041.736983180476,-30964.833442018396,196.0
-34547.285961688205,9580.937555511244,406.0
-11515.76524735382,-30918.65374839934,2137.0
-8470.629361473482,-44587.84305963941,4059.0
-20779.840618482736,-48282.21854916374,3847.0
-10915.31591774361,-22744.84797782674,2069.0
-9628.638782864597,-28286.41121211325,8695.0
-27256.115530707117,-36321.67790182869,157.0
-37120.64023144624,7179.593487320424,5437.0
-31116.146935344164,-28471.12998658947,6437.0
-25969.4383958281,-32350.224250590025,147.0
-38450.20660415457,10643.070508749493,6301.0
-25754.9922066816,19001.595053798308,3261.0
38450.196823781305,-45003.46030221089,8150.0
-17477.36930562659,-33042.919654875834,5303.0
-25583.435255364395,-23853.160624684046,2085.0
