X,Y,indx
52088.97379003435,22530.16428154008,7107.0
51917.41656148736,-23383.758876316297,609.0
35705.25846379619,-53916.055865595044,9947.0
-22924.42439213983,-44077.35804605439,1869.0
-24125.324991968802,-43661.63841987661,11.0
-27728.02679145573,-35162.4816180199,5163.0
-25755.118663165264,-33869.13166991127,9182.0
-28371.366398506965,-33499.603113308796,1955.0
-24425.550141926047,-35855.34766164952,3042.0
-4267.575787653972,63363.06978611256,6242.0
-29186.2632341052,-36640.59584442976,3774.0
-29186.2632341052,58374.43427197927,39.0
-40294.59378252321,44517.11339938679,6992.0
-35405.21276893382,55233.44154085831,710.0
-9542.960565474114,-17979.40373600523,7737.0
-27685.13748431898,-24908.06417230147,43.0
-29615.15630547269,-32067.679956474243,9629.0
-50545.13818820625,25763.53915181166,10200.0
-13102.773057824283,60222.0770549916,8897.0
-28886.038084147953,-35393.436965896435,2063.0
-40380.37239679671,5855.188164853812,4975.0
-7998.945508551144,54910.10405383114,4216.0
52217.6417114446,-5461.623881096704,6340.0
-39865.700711155725,44009.011634058406,2366.0
-20050.840813977637,62115.91090757923,7048.0
-18678.382985601667,-46202.14724651856,6208.0
-19579.058435473402,-47911.21682080498,1196.0
-23224.649542097075,-41352.0849411112,5113.0
-33904.0870191476,58189.66999367803,9396.0
-4138.907866243724,-51976.03094343209,2056.0
-25240.44697752428,-45093.56157671116,8806.0
-23524.874692054316,62716.39481205825,8886.0
-29743.824226882934,-30497.183590913763,4354.0
-26312.679655943008,-26109.031981259483,2459.0
-11858.983150858563,-31605.76926072116,9194.0
-25240.44697752428,-41490.658149837116,3279.0
-36348.7775259423,4284.69179929333,7132.0
-13317.219593508033,-49897.43281254322,461.0
-18506.82575705467,61192.089516073065,7680.0
-35962.77376171156,8534.27020022169,6607.0
-27599.358870045482,29735.971135288164,2237.0
-13617.444743465276,62716.39481205825,6137.0
-41152.379925258196,3638.016825239014,7248.0
-8170.502737098142,-40243.49927130381,6318.0
-31287.839283805904,-33130.074556706335,8862.0
-27299.133720088244,-27079.04444234096,4079.0
-10786.750472439831,-4722.566767891774,4110.0
-20351.065963934878,-42183.52419346674,8882.0
-36348.7775259423,4146.1185905674065,1436.0
-26956.019262994247,42854.234894675705,2621.0
29400.53031469408,-149.6508799362564,1181.0
-35233.655540386826,-22506.128554385443,1639.0
-25369.11489893453,-34469.61557439028,8749.0
-24082.435684832053,-45370.707994163015,9112.0
-26312.679655943008,-39042.53146234579,9071.0
-30816.056905301666,-16362.716300869448,763.0
-27470.69094863523,-23152.803528439756,411.0
-28328.477091370216,41468.50280741645,4688.0
-7355.605901499905,59390.63780263604,2406.0
-26141.12242739601,-26478.560537861948,1588.0
-31630.9537408999,-6524.018481328792,7321.0
-24425.550141926047,-43061.1545153976,2570.0
-41795.719532309435,24377.807064552406,6324.0
-29400.709769788944,-15900.805605116366,4999.0
-10572.303936756085,-30681.947869215,7052.0
24682.706529651674,-12713.621804420096,10335.0
-23481.98538491757,-30820.52107794092,10270.0
-26655.794113037005,-33268.647765432266,6858.0
25969.385743754152,-37610.60830551123,181.0
-33132.07949068611,-36086.30300952606,5734.0
-23610.65330632781,-34977.71733971866,3030.0
-21766.4130994476,64102.12689931748,8706.0
-31416.507205216152,-16270.334161718829,2315.0
-38235.90703995926,1651.8008335007617,6603.0
-38107.23911854901,12368.128974972271,1008.0
-28371.366398506965,-25970.458772533562,9430.0
-24639.99667760979,-21443.73395415335,7470.0
-39136.582489830995,6178.525651880969,8718.0
-29958.27076256668,-25277.592728903935,366.0
-21594.8558709006,61746.38235097676,8745.0
-30901.83551957516,50752.90779205341,9056.0
-29100.4846198317,-33545.79418288411,8523.0
-33603.861869190354,-426.79729738811153,4459.0
-24039.546377695304,-26617.133746587875,9205.0
-13445.887514918279,-49758.8596038173,1350.0
-24339.77152765255,-41028.74745408404,4188.0
-41624.16230376244,2621.8132945822363,8445.0
-38021.460504275514,5808.997095278501,6664.0
-40080.14724683947,12275.74683582165,1.0
39779.74264178736,37218.9244064881,3549.0
-39265.250411241235,28996.914022083227,869.0
-41323.9371538052,10197.148704932784,7465.0
-31116.282055258907,-35347.245896321125,5649.0
-15933.46732884972,58559.1985502805,3405.0
-34204.31216910484,-18949.416197086706,10212.0
-36391.66683307904,4146.1185905674065,1168.0
-13746.112664875523,-33314.83883500757,1843.0
-3667.125487739482,-32298.63530435078,4499.0
-16877.03208585821,-31975.297817323626,4904.0
-29743.824226882934,37449.87975436464,6100.0
-36262.9989116688,-2228.2490108251295,2503.0
-24253.99291337905,-16362.716300869448,370.0
-34976.31969756633,5624.232816977266,794.0
-29357.820462652195,-39365.86894937295,7126.0
-38793.468032737,2945.1507816093945,6573.0
-15847.68871457623,-48003.59895995558,1023.0
-29143.37392696845,-33591.98525245942,5292.0
-39694.14348260873,5347.0863995254185,117.0
-40895.0440824377,5485.659608251342,4603.0
-14732.56672902075,46826.66687815221,630.0
-26698.68342017375,-32483.39958265202,4481.0
-25540.67212748152,-27494.76406851873,1398.0
-31673.843048036644,-34377.23343523966,1815.0
-16105.024557396717,-40382.072480029725,8693.0
-33046.30087641261,-21028.01432797558,107.0
-41409.71576807869,-4630.184628741161,1940.0
-25412.004206071273,-26570.942677012565,7240.0
26183.8322794379,-35532.010174622366,3371.0
-44111.74211769388,26733.551612893127,9748.0
-24682.885984746543,-45601.66334203955,3266.0
-31502.28581948965,-3152.0704023312937,1574.0
-15118.570493251491,64979.75722124835,7834.0
-46427.76470307834,9411.900522152544,7173.0
-33089.19018354936,-14284.118169980577,9715.0
-2208.8890450900144,-35855.34766164952,6042.0
-23095.981620686827,62762.585881633546,7285.0
-36005.663068848306,38650.847563322655,2132.0
-15976.35663598647,53201.03447954474,3573.0
-23353.317463507323,-34053.8959482125,5034.0
-26355.56896307976,-16917.009135773143,1741.0
-26741.5727273105,-36779.169053155674,7969.0
-31030.50344098541,-16408.90737044476,8550.0
-11387.20077235432,-20427.530423496577,7916.0
-5211.1405446624485,-4168.273932988079,5246.0
